SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
SANTA ROSA DE OREAMUNO: SECTOR NAC. BIRRÍS Y CARLOS MARTÍNEZ,NACIENTE BIRRIS,"1100492","517913",8.88473684200,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.83662645510,9.95246992991
SAN PABLO DE SANTA ROSA DE OREAMUNO: SECTOR NACIENTE BIRRIS1,NACIENTE BIRRIS 1,"1100490","517902",9.36000000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.83672678810,9.95245189521
SAN PABLO DE SANTA ROSA DE OREAMUNO: NACIENTE BIRRIS 2,NACIENTE BIRRIS 2,"1100342","518068",8.53615384600,Santa Rosa,Oreamuno,Cartago,1.00000000000,"307",-83.83521347860,9.95111295888
CIPRESES DE OREAMUNO: SECTOR NACIENTE CARLOS CALVO,NACIENTE CARLOS CALVO,"1094111","516632",8.92818181800,Cipreses,Oreamuno,Cartago,1.00000000000,"307",-83.84833619350,9.89477926071
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,"1092712","513708",29.41676471000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87500428240,9.88214061252
LA CHINCHILLA SAN RAFAEL DE OREAMUNO: CENTRO,NACIENTE ARIETE,"1093553","512309",56.48000000000,San Rafael,Oreamuno,Cartago,3.00000000000,"307",-83.88775839740,9.88974934890
MATA DE MORA SAN RAFAEL DE OREAMUNO,NACIENTE EL SOL,"1092562","513992",32.66000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87241516960,9.88078335581
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LA POZA,"1092587","514273",28.17000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.86985281120,9.88100842273
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL SALTO,"1093898","514259",31.26111111000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.86997581080,9.89286240070
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,"1092712","513708",28.63666667000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87500428240,9.88214061252
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,Naciente La Nueva,"1092397","514177",17.38000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87072884860,9.87929079853
